"cntry","wave","node1","node2","item1","item2","sample_edge","bootstrap_mean","bootstrap_sd","ci_lower_2.5","ci_upper_97.5","ci_includes_zero","bootstrap_zero_proportion"
"BE","R10","V12","V14","ipfrule","iphlppl",0,0,0,0,0,TRUE,1
"BE","R10","V12","V15","ipfrule","iplylfr",0,0,0,0,0,TRUE,1
"BE","R10","V12","V16","ipfrule","ipmodst",0,0.000317095487035403,0.00372385748308875,0,0,TRUE,0.992
"BE","R10","V12","V17","ipfrule","iprspot",0.142987017468907,0.141222564726474,0.0290350895937688,0.0855229055799707,0.196970076604221,FALSE,0
"BE","R10","V12","V18","ipfrule","ipshabt",0,0.00497633907805561,0.0149973907798342,0,0.0551233167591269,TRUE,0.892
"BE","R10","V12","V19","ipfrule","ipstrgv",0.0415279876108659,0.044581180172081,0.0306275733619299,0,0.105272851789394,TRUE,0.216
"BE","R10","V12","V20","ipfrule","ipsuces",0,0.00337915463871315,0.0117611473980544,0,0.0424830429526264,TRUE,0.912
"BE","R10","V12","V21","ipfrule","ipudrst",0,0.000690118445216786,0.00535200519738846,0,0,TRUE,0.982
"BE","R10","V13","V14","ipgdtim","iphlppl",0,-9.90896282765609e-05,0.00221571144691575,0,0,TRUE,0.998
"BE","R10","V13","V15","ipgdtim","iplylfr",0,0.0011770008614481,0.00723483016659351,0,0.0286781288813656,TRUE,0.972
"BE","R10","V13","V16","ipgdtim","ipmodst",0,0.00720481344341344,0.0181569882429355,0,0.0633771066284937,TRUE,0.85
"BE","R10","V13","V17","ipgdtim","iprspot",0,5.22344024626908e-05,0.00116799674670659,0,0,TRUE,0.998
"BE","R10","V13","V18","ipgdtim","ipshabt",0,0.00371015169571012,0.0123056558972503,0,0.0441427827517066,TRUE,0.906
"BE","R10","V13","V19","ipgdtim","ipstrgv",0,0.00806509759321142,0.0184537082341947,0,0.0625550261261317,TRUE,0.818
"BE","R10","V13","V20","ipgdtim","ipsuces",0.0680286906200417,0.0646051789366595,0.0296258389621703,0,0.118219793531925,TRUE,0.07
"BE","R10","V13","V21","ipgdtim","ipudrst",0.0733229090136914,0.0810236580240307,0.0289879588793404,0,0.136669381262654,TRUE,0.032
"BE","R10","V14","V15","iphlppl","iplylfr",0.203363415279737,0.203862836220464,0.0310188873103864,0.145887418519341,0.269674630426686,FALSE,0
"BE","R10","V14","V16","iphlppl","ipmodst",0.0468161151858825,0.0464422292407727,0.0324960986412319,0,0.110562989693798,TRUE,0.234
"BE","R10","V14","V17","iphlppl","iprspot",0,-0.000270539401412511,0.00360389526182063,0,0,TRUE,0.994
"BE","R10","V14","V18","iphlppl","ipshabt",0,-0.000112761488767796,0.00252142354128872,0,0,TRUE,0.998
"BE","R10","V14","V19","iphlppl","ipstrgv",0.0666982290756607,0.0658859334645711,0.0300348524433431,0,0.128524490213015,TRUE,0.068
"BE","R10","V14","V20","iphlppl","ipsuces",0.0447742675359802,0.0555432279241893,0.0333689355433116,0,0.114998713855512,TRUE,0.182
"BE","R10","V14","V21","iphlppl","ipudrst",0.20496309941152,0.201576684447596,0.0313707359556294,0.136445493886583,0.261692814286844,FALSE,0
"BE","R10","V15","V16","iplylfr","ipmodst",0,0.0123541999679626,0.0202600076274338,0,0.0659250865749651,TRUE,0.688
"BE","R10","V15","V17","iplylfr","iprspot",0,0.00141053413044676,0.00709494020095821,0,0.0278947100371351,TRUE,0.956
"BE","R10","V15","V18","iplylfr","ipshabt",0,-0.000534162208133251,0.00502255661804455,0,0,TRUE,0.988
"BE","R10","V15","V19","iplylfr","ipstrgv",0,0.00287209673803687,0.0103279982075079,0,0.0412630543721207,TRUE,0.92
"BE","R10","V15","V20","iplylfr","ipsuces",0,0,0,0,0,TRUE,1
