"cntry","n9","n10","M","p_struct_raw","S_R9","S_R10","S_diff","p_global_raw","p_struct_holm","p_global_holm"
"BE",1724,1298,0.125653510007151,0.224775224775225,7.3495913459711,6.26294958096747,-1.08664176500364,0.266733266733267,1,1
"BG",1503,2545,0.172990858642528,0.003996003996004,8.17468543540708,9.2670819537674,1.09239651836032,0.13986013986014,0.0719280719280719,1
"CH",1423,1428,0.104264253616019,0.562437562437562,6.17854800585267,7.05462637714247,0.876078371289803,0.0949050949050949,1,1
"CZ",2180,2178,0.133234238206137,0.012987012987013,8.85726469580823,9.11690082423665,0.259636128428415,0.381618381618382,0.207792207792208,1
"EE",1879,1524,0.163848850735921,0.001998001998002,7.27800346572706,6.7144672253978,-0.563536240329256,0.332667332667333,0.037962037962038,1
"FI",1669,1515,0.0937475430906781,0.697302697302697,7.48202029580325,7.22385337471506,-0.258166921088196,0.601398601398601,1,1
"FR",1804,1839,0.0924058788789312,0.651348651348651,7.10614097140214,7.59052526640737,0.484384295005226,0.296703296703297,1,1
"GB",2122,1102,0.0968424774231784,0.763236763236763,7.96587571577672,7.15111781145715,-0.814757904319571,0.788211788211788,1,1
"HR",1679,1475,0.124147311871672,0.278721278721279,8.1032324332064,7.68999927321092,-0.413233159995479,0.41958041958042,1,1
"HU",1574,1696,0.181445914331368,0.000999000999000999,8.01673417490675,8.52596692716346,0.509232752256718,0.301698301698302,0.01998001998002,1
"IE",2082,1630,0.148863731587861,0.00799200799200799,8.19916794542336,8.14877845908636,-0.0503894863370018,0.935064935064935,0.135864135864136,1
"IS",787,820,0.174344168039397,0.0829170829170829,5.32321115067681,5.88247371023092,0.559262559554105,0.283716283716284,1,1
"IT",2457,2405,0.0920393447415431,0.376623376623377,9.61537545314974,9.54735318729286,-0.068022265856877,0.849150849150849,1,1
"LT",1497,1464,0.155379576070609,0.014985014985015,8.11099403401124,8.22920683166978,0.118212797658535,0.799200799200799,0.224775224775225,1
"ME",1149,1207,0.167905747306616,0.0539460539460539,7.9451797799971,8.08138915807762,0.13620937808052,0.741258741258741,0.755244755244755,1
"NL",1591,1384,0.0976845536511662,0.743256743256743,6.89998463444133,6.32808966626638,-0.571894968174949,0.34965034965035,1,1
"NO",1353,1355,0.11081818337285,0.486513486513487,6.9399199884114,6.39577770873866,-0.544142279672745,0.342657342657343,1,1
"PT",994,1757,0.130746669528081,0.164835164835165,6.97617523450154,8.14229422982848,1.16611899532694,0.337662337662338,1,1
"SI",1226,1163,0.13143267845815,0.394605394605395,7.48820134839095,7.00417690502174,-0.484024443369205,0.385614385614386,1,1
"SK",994,1283,0.150278228748314,0.106893106893107,7.87247724320856,7.88066050309251,0.00818325988394353,0.988011988011988,1,1
